"GEOID","NAME","percent_asian","percent_black","percent_white","percent_other","percent_latinx"
"48201231300","Census Tract 2313, Harris County, Texas",0,0.6517,0.2947,0.0536,0.3436
"48201231400","Census Tract 2314, Harris County, Texas",0,0.8347,0.0575,0.1079,0.1569
"48201231500","Census Tract 2315, Harris County, Texas",0,0.874,0.116,0.01,0.1407
"48201231600","Census Tract 2316, Harris County, Texas",0,0.6657,0.3137,0.0206,0.3251
"48201231700","Census Tract 2317, Harris County, Texas",0.0041,0.0596,0.9099,0.0264,0.9047
"48201231800","Census Tract 2318, Harris County, Texas",0,0.2918,0.6629,0.0453,0.6765
"48201231900","Census Tract 2319, Harris County, Texas",0,0.6464,0.3264,0.0272,0.3443
"48201232000","Census Tract 2320, Harris County, Texas",0,0.4023,0.5577,0.04,0.5903
"48201232100","Census Tract 2321, Harris County, Texas",0,0.2156,0.7136,0.0708,0.7248
"48201232200","Census Tract 2322, Harris County, Texas",0.0506,0.2733,0.5649,0.1111,0.3661
"48201232301","Census Tract 2323.01, Harris County, Texas",0.0021,0.3337,0.6231,0.0411,0.5463
"48201232302","Census Tract 2323.02, Harris County, Texas",0.0067,0.3258,0.5797,0.0879,0.6095
"48201232401","Census Tract 2324.01, Harris County, Texas",0.0384,0.2381,0.6238,0.0997,0.6225
"48201232402","Census Tract 2324.02, Harris County, Texas",0.0294,0.273,0.5918,0.1058,0.5787
"48201232403","Census Tract 2324.03, Harris County, Texas",0.0201,0.2306,0.6842,0.065,0.7088
"48201232500","Census Tract 2325, Harris County, Texas",0,0.2557,0.7015,0.0429,0.6037
"48201232600","Census Tract 2326, Harris County, Texas",0.0172,0.0612,0.8649,0.0567,0.7874
"48201232701","Census Tract 2327.01, Harris County, Texas",0.0022,0.2284,0.7445,0.0249,0.732
"48201232702","Census Tract 2327.02, Harris County, Texas",0,0.3028,0.6284,0.0688,0.6095
"48201232800","Census Tract 2328, Harris County, Texas",0.0128,0.3049,0.6045,0.0778,0.6138
"48201232900","Census Tract 2329, Harris County, Texas",0.0577,0.4417,0.4607,0.0398,0.4299
"48201233001","Census Tract 2330.01, Harris County, Texas",0,0.3802,0.5357,0.0841,0.4511
"48201233002","Census Tract 2330.02, Harris County, Texas",0.0865,0.3215,0.5098,0.0821,0.4776
"48201233003","Census Tract 2330.03, Harris County, Texas",0.0043,0.0712,0.829,0.0955,0.6204
"48201233101","Census Tract 2331.01, Harris County, Texas",0,0.052,0.8481,0.0998,0.7948
"48201233102","Census Tract 2331.02, Harris County, Texas",0,0,0.9465,0.0535,0.8911
"48201233103","Census Tract 2331.03, Harris County, Texas",0.002,0.0121,0.9596,0.0263,0.8937
"48201233200","Census Tract 2332, Harris County, Texas",0.0103,0.022,0.9223,0.0454,0.8206
"48201233300","Census Tract 2333, Harris County, Texas",0,0,0.8977,0.1023,0.9343
"48201233400","Census Tract 2334, Harris County, Texas",0,0.1053,0.8434,0.0513,0.7905
"48201233500","Census Tract 2335, Harris County, Texas",0,0.0134,0.9185,0.068,0.8942
"48201233600","Census Tract 2336, Harris County, Texas",0,0.4699,0.4894,0.0408,0.5125
"48201233701","Census Tract 2337.01, Harris County, Texas",0,0.1668,0.7492,0.084,0.7205
"48201233702","Census Tract 2337.02, Harris County, Texas",0,0.0128,0.8281,0.1591,0.9536
"48201233703","Census Tract 2337.03, Harris County, Texas",0,0.0307,0.8554,0.1139,0.8426
"48201240100","Census Tract 2401, Harris County, Texas",0.0131,0.2142,0.59,0.1826,0.5954
"48201240400","Census Tract 2404, Harris County, Texas",0.0099,0.1978,0.6572,0.1351,0.6141
"48201240501","Census Tract 2405.01, Harris County, Texas",0.0162,0.3223,0.5535,0.108,0.6227
"48201240502","Census Tract 2405.02, Harris County, Texas",0.0085,0.2945,0.622,0.0749,0.6809
"48201240600","Census Tract 2406, Harris County, Texas",0,0.3355,0.6201,0.0444,0.6599
"48201240701","Census Tract 2407.01, Harris County, Texas",0.0256,0.3379,0.5304,0.106,0.556
"48201240702","Census Tract 2407.02, Harris County, Texas",0.0219,0.3333,0.4963,0.1485,0.5275
"48201240801","Census Tract 2408.01, Harris County, Texas",0,0.3432,0.4872,0.1696,0.4499
"48201240802","Census Tract 2408.02, Harris County, Texas",0.0165,0.4515,0.4492,0.0828,0.3802
"48201240901","Census Tract 2409.01, Harris County, Texas",0.0059,0.3451,0.5459,0.1031,0.4755
"48201240902","Census Tract 2409.02, Harris County, Texas",0.0547,0.3813,0.533,0.0309,0.3976
"48201241000","Census Tract 2410, Harris County, Texas",0.0215,0.2331,0.6186,0.1269,0.3132
"48201241101","Census Tract 2411.01, Harris County, Texas",0.0132,0.1678,0.6679,0.1512,0.3933
"48201241102","Census Tract 2411.02, Harris County, Texas",0.0103,0.2811,0.5432,0.1654,0.38
"48201241103","Census Tract 2411.03, Harris County, Texas",0.0023,0.2024,0.6814,0.1139,0.4212
"48201241200","Census Tract 2412, Harris County, Texas",0.046,0.2933,0.5818,0.0789,0.3585
"48201241300","Census Tract 2413, Harris County, Texas",0.0675,0.2017,0.6199,0.1109,0.2308
"48201241400","Census Tract 2414, Harris County, Texas",0.0181,0.1612,0.7725,0.0483,0.2362
"48201241500","Census Tract 2415, Harris County, Texas",0.0138,0.4031,0.4669,0.1162,0.437
"48201250100","Census Tract 2501, Harris County, Texas",0.0256,0.3187,0.4641,0.1916,0.4757
"48201250200","Census Tract 2502, Harris County, Texas",0.0153,0.4114,0.4555,0.1178,0.4649
"48201250301","Census Tract 2503.01, Harris County, Texas",0.0225,0.4951,0.4267,0.0557,0.3097
"48201250302","Census Tract 2503.02, Harris County, Texas",0.0384,0.2629,0.6384,0.0602,0.3685
"48201250401","Census Tract 2504.01, Harris County, Texas",0.0205,0.1842,0.7199,0.0754,0.3514
"48201250402","Census Tract 2504.02, Harris County, Texas",0.0176,0.216,0.7192,0.0472,0.2374
"48201250500","Census Tract 2505, Harris County, Texas",0.0507,0.2014,0.6679,0.08,0.278
"48201250600","Census Tract 2506, Harris County, Texas",0.0042,0.353,0.6001,0.0427,0.4163
"48201250701","Census Tract 2507.01, Harris County, Texas",0.0261,0.1219,0.7795,0.0725,0.3022
"48201250702","Census Tract 2507.02, Harris County, Texas",0.0523,0.0962,0.7167,0.1347,0.2681
"48201250800","Census Tract 2508, Harris County, Texas",0.0322,0.0696,0.8315,0.0668,0.1044
"48201250900","Census Tract 2509, Harris County, Texas",0.0258,0.0166,0.9342,0.0234,0.1072
"48201251000","Census Tract 2510, Harris County, Texas",0.0761,0.0687,0.8043,0.0509,0.2001
"48201251100","Census Tract 2511, Harris County, Texas",0.0066,0.0401,0.8159,0.1373,0.2244
"48201251200","Census Tract 2512, Harris County, Texas",0.0533,0.0534,0.83,0.0633,0.2456
"48201251300","Census Tract 2513, Harris County, Texas",0.0048,0.0264,0.909,0.0598,0.1377
"48201251401","Census Tract 2514.01, Harris County, Texas",0.0264,0.0901,0.8339,0.0495,0.1848
"48201251402","Census Tract 2514.02, Harris County, Texas",0.0397,0.0032,0.8995,0.0576,0.2542
"48201251501","Census Tract 2515.01, Harris County, Texas",0.1288,0.016,0.8139,0.0413,0.1051
"48201251502","Census Tract 2515.02, Harris County, Texas",0.0214,0.0159,0.915,0.0477,0.13
"48201251503","Census Tract 2515.03, Harris County, Texas",0.0404,0.0762,0.843,0.0404,0.102
"48201251600","Census Tract 2516, Harris County, Texas",0,0.0106,0.965,0.0244,0.2362
"48201251700","Census Tract 2517, Harris County, Texas",0.0029,0.0249,0.9405,0.0316,0.2019
"48201251800","Census Tract 2518, Harris County, Texas",0.0034,0.0107,0.9722,0.0137,0.3166
"48201251901","Census Tract 2519.01, Harris County, Texas",0.0034,0.0379,0.89,0.0687,0.2702
"48201251902","Census Tract 2519.02, Harris County, Texas",0.0167,0.107,0.807,0.0693,0.1776
"48201252000","Census Tract 2520, Harris County, Texas",0.0278,0.2866,0.6211,0.0646,0.2593
"48201252100","Census Tract 2521, Harris County, Texas",0.0096,0.1894,0.7801,0.0209,0.5456
"48201252200","Census Tract 2522, Harris County, Texas",0.0406,0.2047,0.6782,0.0766,0.5814
"48201252301","Census Tract 2523.01, Harris County, Texas",0.0036,0.3608,0.5784,0.0572,0.533
"48201252302","Census Tract 2523.02, Harris County, Texas",0.0111,0.1845,0.7228,0.0816,0.7111
"48201252400","Census Tract 2524, Harris County, Texas",0,0.0224,0.931,0.0466,0.6383
"48201252500","Census Tract 2525, Harris County, Texas",0,0.0086,0.9594,0.0321,0.7172
"48201252600","Census Tract 2526, Harris County, Texas",0,0,0.9531,0.0469,0.7423
"48201252700","Census Tract 2527, Harris County, Texas",0.0115,0.0885,0.8508,0.0493,0.3216
"48201252800","Census Tract 2528, Harris County, Texas",0.0251,0.377,0.5197,0.0782,0.316
"48201252900","Census Tract 2529, Harris County, Texas",0.009,0.0797,0.8635,0.0478,0.373
"48201253000","Census Tract 2530, Harris County, Texas",0,0.3007,0.6218,0.0775,0.418
"48201253100","Census Tract 2531, Harris County, Texas",0.0294,0.197,0.7297,0.0439,0.4794
"48201253200","Census Tract 2532, Harris County, Texas",0.0017,0.1346,0.787,0.0767,0.3272
"48201253300","Census Tract 2533, Harris County, Texas",0.0225,0.0749,0.764,0.1386,0.4039
"48201253400","Census Tract 2534, Harris County, Texas",0.0161,0.0257,0.8796,0.0787,0.3114
"48201253500","Census Tract 2535, Harris County, Texas",0.0477,0.3081,0.5771,0.0671,0.3604
"48201253600","Census Tract 2536, Harris County, Texas",0.0361,0.1829,0.6999,0.0811,0.4769
"48201253700","Census Tract 2537, Harris County, Texas",0.0416,0.2126,0.6597,0.086,0.4464
"48201253800","Census Tract 2538, Harris County, Texas",0.0107,0.0851,0.8326,0.0715,0.5155
"48201253900","Census Tract 2539, Harris County, Texas",0.0109,0.0864,0.8033,0.0994,0.3238
"48201254000","Census Tract 2540, Harris County, Texas",0.0107,0.2746,0.6818,0.033,0.2857
"48201254100","Census Tract 2541, Harris County, Texas",0,0.1699,0.7,0.13,0.5756
"48201254200","Census Tract 2542, Harris County, Texas",0,0.063,0.7473,0.1897,0.7683
"48201254300","Census Tract 2543, Harris County, Texas",0,0.144,0.7088,0.1471,0.6199
"48201254400","Census Tract 2544, Harris County, Texas",0.005,0.0724,0.7997,0.1229,0.8014
"48201254500","Census Tract 2545, Harris County, Texas",0.0053,0.2284,0.567,0.1993,0.7054
"48201254600","Census Tract 2546, Harris County, Texas",0.0019,0.0867,0.6659,0.2455,0.7412
"48201254700","Census Tract 2547, Harris County, Texas",0.0217,0.1306,0.753,0.0947,0.3634
"48201310100","Census Tract 3101, Harris County, Texas",0.0389,0.3556,0.4729,0.1326,0.3663
"48201310200","Census Tract 3102, Harris County, Texas",0.0957,0.1647,0.5622,0.1773,0.2437
"48201310300","Census Tract 3103, Harris County, Texas",0.0076,0.0469,0.6376,0.3079,0.7252
"48201310400","Census Tract 3104, Harris County, Texas",0,0.0163,0.7603,0.2233,0.9376
"48201310500","Census Tract 3105, Harris County, Texas",0.0185,0.0378,0.7468,0.1969,0.9022
"48201310600","Census Tract 3106, Harris County, Texas",0.0178,0.0799,0.7107,0.1916,0.7966
"48201310700","Census Tract 3107, Harris County, Texas",0,0.0076,0.6715,0.3208,0.8433
"48201310800","Census Tract 3108, Harris County, Texas",0.014,0.0288,0.6394,0.3178,0.8645
"48201310900","Census Tract 3109, Harris County, Texas",0.0171,0.0108,0.6841,0.2879,0.9307
"48201311000","Census Tract 3110, Harris County, Texas",0,0,0.7537,0.2463,0.9559
"48201311100","Census Tract 3111, Harris County, Texas",0,0.0149,0.6446,0.3405,0.9753
